                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5266,                 1.4322,                 3.6772,                0.43168,                0.32259,                0.29668,                0.11658,                 2.6506,                 1.4654,                 3.0553,              0.0019978,              0.0019978,              0.0019978
                      2,                 2.5779,                 1.0037,                 2.6683,                0.61693,                0.43359,                0.47995,                0.21894,                  2.221,                 1.0702,                 2.4154,              0.0039582,              0.0039582,              0.0039582
                      3,                 2.3475,                0.90226,                 2.3571,                0.67285,                0.49172,                0.54901,                 0.2579,                  2.117,                0.81911,                 2.3048,               0.005879,               0.005879,               0.005879
                      4,                  2.264,                 0.8648,                 2.2355,                0.63587,                0.42381,                0.47391,                0.22521,                 2.1168,                 1.0063,                 2.2471,              0.0077602,              0.0077602,              0.0077602
                      5,                 2.2143,                0.85189,                 2.1616,                 0.6796,                0.48583,                0.53939,                0.25668,                 1.9613,                0.83498,                 2.0454,              0.0096018,              0.0096018,              0.0096018
                      6,                 2.2077,                0.85226,                 2.1175,                 0.6933,                0.50294,                0.56545,                 0.2751,                 1.9317,                0.75707,                 1.9567,               0.009505,               0.009505,               0.009505
                      7,                 2.1449,                0.80857,                 2.0462,                 0.7017,                  0.534,                0.60602,                0.30963,                 1.8124,                0.69891,                 1.8695,               0.009406,               0.009406,               0.009406
                      8,                 2.1064,                0.76865,                 1.9912,                0.74358,                0.54079,                0.62708,                0.32398,                 1.7926,                0.58194,                 1.8204,               0.009307,               0.009307,               0.009307
                      9,                 2.0609,                0.73151,                 1.9507,                 0.7509,                0.57722,                0.66237,                0.34112,                 1.7493,                0.55365,                 1.7926,               0.009208,               0.009208,               0.009208
                     10,                 2.0372,                0.71182,                 1.9214,                0.75874,                0.58108,                0.66908,                0.35004,                  1.741,                0.53563,                 1.7604,               0.009109,               0.009109,               0.009109
