                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1722,                 1.3196,                 3.4849,                0.61918,                 0.4622,                0.48923,                0.21522,                 2.2402,                 1.9398,                 2.7379,              0.0019978,              0.0019978,              0.0019978
                      2,                 2.3271,                0.93456,                 2.4701,                0.69389,                0.49036,                0.55366,                0.26033,                 2.1144,                 1.2951,                 2.3844,              0.0039582,              0.0039582,              0.0039582
                      3,                 2.1919,                0.84133,                 2.2515,                0.70787,                0.48474,                 0.5511,                0.27804,                 1.9173,                0.91684,                 2.1642,               0.005879,               0.005879,               0.005879
                      4,                   2.15,                 0.8113,                 2.1645,                0.72182,                0.54082,                0.61227,                 0.3012,                 1.9445,                0.85909,                 2.0751,              0.0077602,              0.0077602,              0.0077602
                      5,                 2.1385,                0.80271,                 2.1281,                0.71875,                0.53201,                0.59869,                 0.2944,                 1.9397,                0.88146,                 2.0592,              0.0096018,              0.0096018,              0.0096018
                      6,                 2.1361,                0.80219,                 2.0912,                0.73619,                0.51842,                0.59345,                0.29845,                 1.8681,                 0.7596,                 1.9674,               0.009505,               0.009505,               0.009505
                      7,                 2.0842,                0.76115,                 2.0347,                0.73237,                 0.5876,                 0.6594,                0.34146,                 1.7441,                0.58881,                 1.8364,               0.009406,               0.009406,               0.009406
                      8,                 2.0542,                0.72505,                 1.9885,                0.75071,                0.57954,                0.66259,                0.35266,                 1.7034,                0.59533,                 1.8083,               0.009307,               0.009307,               0.009307
                      9,                 2.0123,                0.69351,                 1.9481,                0.77991,                0.60362,                0.69061,                0.36357,                 1.6906,                0.49752,                 1.7685,               0.009208,               0.009208,               0.009208
                     10,                 1.9886,                0.67145,                 1.9203,                0.79063,                0.60721,                0.70024,                0.37625,                 1.6997,                0.46902,                 1.7733,               0.009109,               0.009109,               0.009109
                     11,                 1.9776,                0.66281,                  1.906,                0.78898,                0.63006,                0.71709,                 0.3833,                 1.6595,                0.52927,                  1.726,                0.00901,                0.00901,                0.00901
                     12,                 1.9575,                0.64153,                 1.8959,                0.79709,                0.61349,                0.70592,                0.38839,                 1.6301,                0.43618,                 1.7153,               0.008911,               0.008911,               0.008911
                     13,                 1.9342,                0.62633,                 1.8753,                0.80369,                0.62499,                0.71775,                0.39203,                 1.6254,                0.43043,                 1.7011,               0.008812,               0.008812,               0.008812
